"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 03 16:39:17 UTC 2022","Mon Oct 03 16:39:21 UTC 2022","4182","","My Account Functionality","","","","Sample Test",""
"passed","Mon Oct 03 16:38:00 UTC 2022","Mon Oct 03 16:38:24 UTC 2022","23428","","Login Functionality","","","","login with wrong email format credentials read data from fixture",""
"failed","Mon Oct 03 16:37:10 UTC 2022","Mon Oct 03 16:37:28 UTC 2022","18024","","Login Functionality","","","","login with valid credentials read data from fixture",""
"passed","Mon Oct 03 16:36:07 UTC 2022","Mon Oct 03 16:37:10 UTC 2022","62942","","Login Functionality","","","","login with valid credentials",""
"passed","Mon Oct 03 16:37:41 UTC 2022","Mon Oct 03 16:38:00 UTC 2022","18665","","Login Functionality","","","","login with invalid password credentials read data from fixture",""
"passed","Mon Oct 03 16:37:28 UTC 2022","Mon Oct 03 16:37:41 UTC 2022","13320","","Login Functionality","","","","login with invalid email credentials read data from fixture",""
